品种,板块,子节点,图名称,同花顺概念名,知几ID,知几名称,置信度
LI,,2.1,碳酸锂期货主力合约收盘价时序图,碳酸锂期货主力合约收盘价,a10172975,GFEX: 碳酸锂: 主力合约: 收盘价: 日度,A
LI,,2.1,碳酸锂期货持仓量时序图,碳酸锂期货持仓量,FU00088313,GFEX：碳酸锂：单边交易：持仓量（日）,A
LI,,2.1,碳酸锂期货成交量时序图,碳酸锂期货成交量,FU00056916,GFEX：碳酸锂：期货期权合约：成交量（月）,A
LI,,2.1,碳酸锂期货仓单注册量时序图,碳酸锂期货仓单注册量,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,2.1,碳酸锂期货主力合约收盘价与持仓量时序图,碳酸锂期货主力合约收盘价与持仓量,FU00050088,GFEX：碳酸锂：主力合约：收盘价（日）,A
LI,,2.2,电池级碳酸锂现货升贴水时序图,电池级碳酸锂现货升贴水,ID01922207,碳酸锂：电池级：升贴水：中国（日）,A
LI,,2.2,工业级碳酸锂现货升贴水时序图,工业级碳酸锂现货升贴水,ID01922204,碳酸锂：工业级：Li2CO3≥99.6%：升贴水：中国：盐湖工业股份：蓝科（日）,A
LI,,2.2,氢氧化锂现货升贴水时序图,氢氧化锂现货升贴水,a10099482,SMM: 精炼锡进出口盈亏: premium: 日度,C
LI,,2.2,碳酸锂社会库存时序图,碳酸锂社会库存,a12795935,SMM: 四地样本碳酸锂社会库存（上海，江苏，江西，四川）: 周度,A
LI,,2.2,LME锂价仓单时序图,LME锂价仓单,a12795881,GFEX: 碳酸锂: 仓单日报:增减: 日度,A
LI,,2.3,LME锂价时序图,LME锂价,s22862195,SMM: 溴化锂 - 最高价: 日度,A
LI,,2.3,LME锂价注销仓单占比时序图,LME锂价注销仓单占比,FU00023517,LME：钴：注销仓单：比利时：安特卫普（日）,B
LI,,2.3,沪伦比时序图,沪伦比,a10015872,SMM: 电解铝: 沪伦铝比值: 日度,C
LI,,2.3,进口盈亏时序图,进口盈亏,a10005700,进口盈亏,C
LI,,2.3,LME锂价现金-3M升贴水时序图,LME锂价现金-3M升贴水,ID01922207,碳酸锂：电池级：升贴水：中国（日）,A
LI,,2.4,碳酸锂期货月差时序图,碳酸锂期货月差,j02750901,SMM: 电池级碳酸锂期现价差（现货-期货）: 日度,A
LI,,2.4,碳酸锂期货期限结构时序图,碳酸锂期货期限结构,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,2.4,碳酸锂期货近月合约收盘价时序图,碳酸锂期货近月合约收盘价,a12841695,SMM: 碳酸锂: 期现价差-当月合约: 收盘价: 日度,A
LI,,2.4,碳酸锂期货远月合约收盘价时序图,碳酸锂期货远月合约收盘价,a12841695,SMM: 碳酸锂: 期现价差-当月合约: 收盘价: 日度,A
LI,,2.4,碳酸锂期货月差与持仓量时序图,碳酸锂期货月差与持仓量,a12857290,碳酸锂:当月合约:持仓量(实物重量),A
LI,,2.5,碳酸锂估值分位时序图,碳酸锂估值分位,a12748792,SMM: 碳酸锂产量分类别-预测值: 总: 月度,A
LI,,2.5,碳酸锂冶炼利润时序图,碳酸锂冶炼利润,a12751985,SMM: 碳酸锂进口利润: 日度,A
LI,,2.5,氢氧化锂冶炼利润时序图,氢氧化锂冶炼利润,a12763812,SMM: 氢氧化锂生产利润: 冶炼法: 日度,A
LI,,2.5,盐湖提锂利润时序图,盐湖提锂利润,a12795960,SMM: 碳酸锂生产利润: 盐湖一体化: 季度,A
LI,,2.5,锂云母/锂辉石利润时序图,锂云母/锂辉石利润,a10181287,SMM: 碳酸锂生产利润: 云母一体化: 季度,A
LI,,2.6,碳酸锂期货多头前20持仓量时序图,碳酸锂期货多头前20持仓量,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,2.6,碳酸锂期货空头前20持仓量时序图,碳酸锂期货空头前20持仓量,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,2.6,碳酸锂期货前20净持仓时序图,碳酸锂期货前20净持仓,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,2.6,碳酸锂期货前20总持仓量时序图,碳酸锂期货前20总持仓量,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,2.6,碳酸锂期货多空持仓比时序图,碳酸锂期货多空持仓比,a12723883,GFEX: 广期所碳酸锂期货交割库容: 交割仓库库容: 月度,A
LI,,3.1.1,海外锂矿产量时序图,海外锂矿产量,a12817812,SMM: 海外碳酸锂产量: 智利: 季度,A
LI,,3.1.1,海外精炼产量时序图,海外精炼产量,a12796894,SMM: 压铸产量: 月度,C
LI,,3.1.1,海外产能时序图,海外产能,a12715541,SMM: 海外碳酸锂冶炼产能: 年度,A
LI,,3.1.1,海外开工率时序图,海外开工率,a12818496,SMM: EC产能: 月度,C
LI,,3.1.1,海外检修量时序图,海外检修量,a10166551,SMM: 高炉检修影响量: 月度,C
LI,,3.1.2,澳大利亚锂矿产量时序图,澳大利亚锂矿产量,a12808678,SMM: 澳大利亚锂辉石精矿产量: 季度,A
LI,,3.1.2,非洲锂矿产量时序图,非洲锂矿产量,a12814168,SMM: 巴西锂辉石精矿产量: 季度,B
LI,,3.1.2,南美锂矿产量时序图,南美锂矿产量,a12715559,SMM: 碳酸锂产量: 湖南: 月度,A
LI,,3.1.2,亚洲锂矿产量时序图,亚洲锂矿产量,a12808678,SMM: 澳大利亚锂辉石精矿产量: 季度,A
LI,,3.1.2,海外锂矿进口量分国别时序图,海外锂矿进口量分国别,a12857355,中国海关: 碳酸锂进口分国别地区: 印度尼西亚丨进口数量: 月度,A
LI,,3.1.3,锂云母产量时序图,锂云母产量,a12756591,SMM: 锂云母总产量: 月度,A
LI,,3.1.3,锂辉石产量时序图,锂辉石产量,a12814168,SMM: 巴西锂辉石精矿产量: 季度,A
LI,,3.1.3,国内锂矿产量时序图,国内锂矿产量,a12814168,SMM: 巴西锂辉石精矿产量: 季度,B
